2024-11-19 22:37:20,022 clip_ViT-B-16_train INFO: Log saved in- logs/protocol_1_ViT-B-16_2024-11-19 22:37:20
2024-11-19 22:37:20,022 clip_ViT-B-16_train INFO: Training cfgs- Namespace(aug_mix=0.6, backbone='ViT-B-16', batch_size=128, beta=0.1, checkpoint_period=60, classes=[1502, 11934, 1816, 1467], color_jitter=0.1, combine_all=True, data_path='/data/ReidShareDataset', device_id='1', epsilon=0.1, eval_period=10, gray_scale=0.1, image_encoder_epoch=60, image_encoder_lr=5e-06, lamda=0.01, log_path='logs', log_period=100, model='clip', num_instance=4, num_workers=8, omega=0.01, optimizer='Adam', pad=10, prior_epoch=3, prompt_domain_epoch=30, prompt_epoch=120, prompt_lr=0.00035, random_erasing=0.0, random_horizontal_flip=0.4, sampling_method='PK', size_train=[224, 224], train_datasets=['Market', 'cuhk_sysu', 'CUHK02', 'cuhk03'], weight_decay=0.0001)
2024-11-19 22:37:20,022 clip_ViT-B-16_train INFO: Running protocol- ['Market', 'cuhk_sysu', 'CUHK02', 'cuhk03']->['PRID', 'GRID', 'VIPeR', 'iLIDS']
2024-11-19 22:37:22,246 clip_ViT-B-16_train INFO: start stage-prior training
2024-11-19 23:01:29,091 clip_ViT-B-16_train INFO: STAGE1-Epoch[4] Iteration[300/689] Domain_Acc: 0.899 Loss: 0.987, Base Lr: 8.00e-03
2024-11-19 23:01:36,179 clip_ViT-B-16_train INFO: STAGE1-Epoch[4] Iteration[400/689] Domain_Acc: 0.898 Loss: 0.973, Base Lr: 8.00e-03
2024-11-19 23:01:43,243 clip_ViT-B-16_train INFO: STAGE1-Epoch[4] Iteration[500/689] Domain_Acc: 0.900 Loss: 0.969, Base Lr: 8.00e-03
2024-11-19 23:01:50,332 clip_ViT-B-16_train INFO: STAGE1-Epoch[4] Iteration[600/689] Domain_Acc: 0.901 Loss: 0.969, Base Lr: 8.00e-03
2024-11-19 23:02:03,633 clip_ViT-B-16_train INFO: STAGE1-Epoch[5] Iteration[100/689] Domain_Acc: 0.902 Loss: 0.724, Base Lr: 9.96e-03
2024-11-19 23:02:10,726 clip_ViT-B-16_train INFO: STAGE1-Epoch[5] Iteration[200/689] Domain_Acc: 0.902 Loss: 0.737, Base Lr: 9.96e-03
2024-11-19 23:02:17,939 clip_ViT-B-16_train INFO: STAGE1-Epoch[5] Iteration[300/689] Domain_Acc: 0.901 Loss: 0.743, Base Lr: 9.96e-03
2024-11-19 23:02:25,203 clip_ViT-B-16_train INFO: STAGE1-Epoch[5] Iteration[400/689] Domain_Acc: 0.901 Loss: 0.732, Base Lr: 9.96e-03
2024-11-19 23:02:32,493 clip_ViT-B-16_train INFO: STAGE1-Epoch[5] Iteration[500/689] Domain_Acc: 0.902 Loss: 0.728, Base Lr: 9.96e-03
2024-11-19 23:02:39,785 clip_ViT-B-16_train INFO: STAGE1-Epoch[5] Iteration[600/689] Domain_Acc: 0.903 Loss: 0.733, Base Lr: 9.96e-03
2024-11-19 23:02:53,496 clip_ViT-B-16_train INFO: STAGE1-Epoch[6] Iteration[100/689] Domain_Acc: 0.900 Loss: 0.590, Base Lr: 9.94e-03
2024-11-19 23:03:00,791 clip_ViT-B-16_train INFO: STAGE1-Epoch[6] Iteration[200/689] Domain_Acc: 0.903 Loss: 0.560, Base Lr: 9.94e-03
2024-11-19 23:03:08,089 clip_ViT-B-16_train INFO: STAGE1-Epoch[6] Iteration[300/689] Domain_Acc: 0.906 Loss: 0.545, Base Lr: 9.94e-03
2024-11-19 23:03:15,385 clip_ViT-B-16_train INFO: STAGE1-Epoch[6] Iteration[400/689] Domain_Acc: 0.906 Loss: 0.534, Base Lr: 9.94e-03
2024-11-19 23:03:22,678 clip_ViT-B-16_train INFO: STAGE1-Epoch[6] Iteration[500/689] Domain_Acc: 0.907 Loss: 0.530, Base Lr: 9.94e-03
2024-11-19 23:03:29,966 clip_ViT-B-16_train INFO: STAGE1-Epoch[6] Iteration[600/689] Domain_Acc: 0.909 Loss: 0.526, Base Lr: 9.94e-03
2024-11-19 23:03:43,675 clip_ViT-B-16_train INFO: STAGE1-Epoch[7] Iteration[100/689] Domain_Acc: 0.912 Loss: 0.387, Base Lr: 9.92e-03
2024-11-19 23:03:50,976 clip_ViT-B-16_train INFO: STAGE1-Epoch[7] Iteration[200/689] Domain_Acc: 0.913 Loss: 0.379, Base Lr: 9.92e-03
2024-11-19 23:03:58,285 clip_ViT-B-16_train INFO: STAGE1-Epoch[7] Iteration[300/689] Domain_Acc: 0.913 Loss: 0.375, Base Lr: 9.92e-03
2024-11-19 23:04:05,568 clip_ViT-B-16_train INFO: STAGE1-Epoch[7] Iteration[400/689] Domain_Acc: 0.913 Loss: 0.374, Base Lr: 9.92e-03
2024-11-19 23:04:12,866 clip_ViT-B-16_train INFO: STAGE1-Epoch[7] Iteration[500/689] Domain_Acc: 0.915 Loss: 0.370, Base Lr: 9.92e-03
2024-11-19 23:04:20,171 clip_ViT-B-16_train INFO: STAGE1-Epoch[7] Iteration[600/689] Domain_Acc: 0.915 Loss: 0.368, Base Lr: 9.92e-03
2024-11-19 23:04:33,871 clip_ViT-B-16_train INFO: STAGE1-Epoch[8] Iteration[100/689] Domain_Acc: 0.919 Loss: 0.301, Base Lr: 9.89e-03
2024-11-19 23:04:41,170 clip_ViT-B-16_train INFO: STAGE1-Epoch[8] Iteration[200/689] Domain_Acc: 0.917 Loss: 0.304, Base Lr: 9.89e-03
2024-11-19 23:04:48,445 clip_ViT-B-16_train INFO: STAGE1-Epoch[8] Iteration[300/689] Domain_Acc: 0.916 Loss: 0.308, Base Lr: 9.89e-03
2024-11-19 23:04:55,743 clip_ViT-B-16_train INFO: STAGE1-Epoch[8] Iteration[400/689] Domain_Acc: 0.916 Loss: 0.305, Base Lr: 9.89e-03
2024-11-19 23:05:03,045 clip_ViT-B-16_train INFO: STAGE1-Epoch[8] Iteration[500/689] Domain_Acc: 0.917 Loss: 0.309, Base Lr: 9.89e-03
2024-11-19 23:05:10,322 clip_ViT-B-16_train INFO: STAGE1-Epoch[8] Iteration[600/689] Domain_Acc: 0.917 Loss: 0.313, Base Lr: 9.89e-03
2024-11-19 23:05:24,052 clip_ViT-B-16_train INFO: STAGE1-Epoch[9] Iteration[100/689] Domain_Acc: 0.914 Loss: 0.305, Base Lr: 9.86e-03
2024-11-19 23:05:31,332 clip_ViT-B-16_train INFO: STAGE1-Epoch[9] Iteration[200/689] Domain_Acc: 0.914 Loss: 0.305, Base Lr: 9.86e-03
2024-11-19 23:05:38,640 clip_ViT-B-16_train INFO: STAGE1-Epoch[9] Iteration[300/689] Domain_Acc: 0.914 Loss: 0.309, Base Lr: 9.86e-03
2024-11-19 23:05:45,949 clip_ViT-B-16_train INFO: STAGE1-Epoch[9] Iteration[400/689] Domain_Acc: 0.914 Loss: 0.315, Base Lr: 9.86e-03
2024-11-19 23:05:53,231 clip_ViT-B-16_train INFO: STAGE1-Epoch[9] Iteration[500/689] Domain_Acc: 0.915 Loss: 0.320, Base Lr: 9.86e-03
2024-11-19 23:06:00,549 clip_ViT-B-16_train INFO: STAGE1-Epoch[9] Iteration[600/689] Domain_Acc: 0.915 Loss: 0.327, Base Lr: 9.86e-03
2024-11-19 23:06:14,274 clip_ViT-B-16_train INFO: STAGE1-Epoch[10] Iteration[100/689] Domain_Acc: 0.915 Loss: 0.360, Base Lr: 9.83e-03
2024-11-19 23:06:21,593 clip_ViT-B-16_train INFO: STAGE1-Epoch[10] Iteration[200/689] Domain_Acc: 0.913 Loss: 0.357, Base Lr: 9.83e-03
2024-11-19 23:06:28,902 clip_ViT-B-16_train INFO: STAGE1-Epoch[10] Iteration[300/689] Domain_Acc: 0.910 Loss: 0.372, Base Lr: 9.83e-03
2024-11-19 23:06:36,187 clip_ViT-B-16_train INFO: STAGE1-Epoch[10] Iteration[400/689] Domain_Acc: 0.909 Loss: 0.378, Base Lr: 9.83e-03
2024-11-19 23:06:43,510 clip_ViT-B-16_train INFO: STAGE1-Epoch[10] Iteration[500/689] Domain_Acc: 0.911 Loss: 0.386, Base Lr: 9.83e-03
2024-11-19 23:06:50,819 clip_ViT-B-16_train INFO: STAGE1-Epoch[10] Iteration[600/689] Domain_Acc: 0.911 Loss: 0.391, Base Lr: 9.83e-03
2024-11-19 23:07:04,551 clip_ViT-B-16_train INFO: STAGE1-Epoch[11] Iteration[100/689] Domain_Acc: 0.908 Loss: 0.423, Base Lr: 9.79e-03
2024-11-19 23:07:11,858 clip_ViT-B-16_train INFO: STAGE1-Epoch[11] Iteration[200/689] Domain_Acc: 0.910 Loss: 0.418, Base Lr: 9.79e-03
2024-11-19 23:07:19,147 clip_ViT-B-16_train INFO: STAGE1-Epoch[11] Iteration[300/689] Domain_Acc: 0.909 Loss: 0.421, Base Lr: 9.79e-03
2024-11-19 23:07:26,467 clip_ViT-B-16_train INFO: STAGE1-Epoch[11] Iteration[400/689] Domain_Acc: 0.909 Loss: 0.415, Base Lr: 9.79e-03
